Time,Fixed_inj1,Net_Fixed_inj1,Fixed_inj2,Net_Fixed_inj2,Prod1,Net_Prod1,Prod2,Net_Prod2,Prod3,Net_Prod3,Prod4,Net_Prod4
1,2983.338236988065,2983.338236988065,2359.1230629538086,2359.1230629538086,1168.4005356668551,1168.4005356668551,1711.5211092599718,1711.5211092599718,756.5433922696328,756.5433922696328,119.32393630183212,119.32393630183212
2,2370.4794107780585,5353.817647766124,1977.4251649977234,4336.548227951532,1696.0241622605479,2864.424697927403,1545.2583826511993,3256.779491911171,1095.986184115244,1852.5295763848767,645.966254772964,765.2901910747961
3,1862.3011293259615,7216.118777092085,1569.5925732586368,5906.140801210168,1406.975788981471,4271.400486908874,1905.0416151492361,5161.8211070604075,1863.306309097291,3715.8358854821677,142.32867469004864,907.6188657648447
4,3212.086996032684,10428.20577312477,1650.0496305659178,7556.190431776086,1815.8477110921883,6087.2481980010625,1946.3676813830953,7108.188788443503,992.5981653381358,4708.434050820303,553.3436139217781,1460.9624796866228
5,2774.60999969032,13202.815772815089,1251.272872589063,8807.463304365148,1614.3927141421507,7701.640912143213,1794.3864902282937,8902.575278671797,1119.7961115076296,5828.230162327933,262.6659016093096,1723.6283812959325
6,4699.90184708568,17902.71761990077,1442.1391369089313,10249.602441274079,1503.7587757533458,9205.399687896559,1885.5000527841087,10788.075331455906,1388.4850674055426,7216.715229733475,776.8533213977839,2500.481702693716
7,1094.700395453778,18997.41801535455,1635.7697420494776,11885.372183323556,1352.1995290340406,10557.5992169306,1389.0818458379965,12177.157177293902,1634.0787481464342,8850.79397787991,629.1691778054139,3129.65088049913
8,1677.0172621671252,20674.435277521676,1315.1080290789064,13200.480212402463,1209.8113019752464,11767.410518905846,1233.8025170426993,13410.959694336601,1280.3944497071761,10131.188427587087,550.5473348528185,3680.1982153519484
9,4509.454837883391,25183.890115405065,1369.7611888245165,14570.24140122698,1441.7273088713084,13209.137827777155,1604.0875932418512,15015.047287578453,1284.450734302545,11415.639161889632,519.6076449786958,4199.8058603306445
10,2365.0039983298034,27548.89411373487,828.1232003603901,15398.364601587371,1290.2829784057483,14499.420806182903,1314.9379405833693,16329.985228161822,1543.0918413577438,12958.731003247376,519.3193253510916,4719.125185681736
11,2637.321860285267,30186.21597402014,1025.2326656473517,16423.597267234723,1401.7944847674355,15901.215290950338,1433.268264392411,17763.253492554235,1489.532356118816,14448.263359366192,443.7094864472715,5162.834672129007
